 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Ago/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110094 Cujubim";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;-;-;-;-
"110009 Espigão D'Oeste";2;2;3048,00;2439,98;-;-;608,02;-;-;1524,00;1524,00;6;3,0;-;-
"110010 Guajará-Mirim";28;28;42072,00;33559,72;-;-;8512,28;-;-;1502,57;1502,57;211;7,5;1;3,57
"110011 Jaru";42;42;121827,42;101334,20;-;-;20493,22;-;-;2900,65;2900,65;186;4,4;4;9,52
"110012 Ji-Paraná";80;80;121566,35;97245,55;-;-;24320,80;-;-;1519,58;1519,58;238;3,0;4;5,00
"110013 Machadinho D'Oeste";7;7;10540,00;8411,93;-;-;2128,07;-;-;1505,71;1505,71;26;3,7;-;-
"110130 Mirante da Serra";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;10;5,0;-;-
"110140 Monte Negro";4;4;6008,00;4791,96;-;-;1216,04;-;-;1502,00;1502,00;6;1,5;-;-
"110014 Nova Brasilândia D'Oeste";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;33;3,7;-;-
"110033 Nova Mamoré";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;61;4,4;-;-
"110143 Nova União";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;4;2,0;-;-
"110018 Pimenta Bueno";10;10;15947,23;12907,13;-;-;3040,10;-;-;1594,72;1594,72;27;2,7;-;-
"110146 Pimenteiras do Oeste";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"110020 Porto Velho";521;521;2599303,84;2210131,15;-;-;389172,69;-;-;4989,07;4989,07;3763;7,2;134;25,72
