 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"230070 Alto Santo";20;30759,97;105;1
"230075 Amontada";7;10548,00;51;1
"230090 Apuiarés";28;43128,72;113;5
"230100 Aquiraz";117;175499,98;798;36
"230110 Aracati";124;188052,07;700;20
"230120 Aracoiaba";16;24564,41;65;1
"230125 Ararendá";5;7548,00;16;-
"230140 Aratuba";2;3000,00;4;1
"230160 Assaré";36;54144,00;172;3
"230170 Aurora";22;33608,00;102;1
"230185 Banabuiú";3;4500,00;11;-
"230190 Barbalha";276;1366059,05;2167;45
"230195 Barreira";21;31500,00;78;6
"230200 Barro";24;36000,00;134;-
"230210 Baturité";16;24119,51;69;-
"230220 Beberibe";72;108416,84;314;11
"230230 Bela Cruz";16;24016,00;93;1
"230240 Boa Viagem";126;193831,42;508;4
"230250 Brejo Santo";653;2539601,97;2859;75
"230260 Camocim";50;75865,19;306;4
"230270 Campos Sales";79;118820,00;320;2
"230280 Canindé";232;355633,03;1455;34
"230300 Caridade";16;24016,00;76;1
"230310 Cariré";47;70500,00;288;-
"230320 Caririaçu";20;30576,00;88;1
"230330 Cariús";23;35244,12;122;1
"230340 Carnaubal";36;54447,98;128;2
"230360 Catarina";30;45000,00;188;-
"230365 Catunda";7;10612,00;30;-
"230370 Caucaia";524;1897748,78;4210;205
"230380 Cedro";102;153000,00;419;18
"230390 Chaval";39;58868,00;141;2
"230393 Choró";5;7500,00;5;-
"230395 Chorozinho";69;103500,00;302;1
"230400 Coreaú";11;16852,00;67;-
"230410 Crateús";711;2581135,05;5107;119
"230420 Crato";317;571823,68;1754;59
"230423 Croatá";2;3016,00;11;-
"230425 Cruz";33;50728,30;205;2
"230426 Deputado Irapuan Pinheiro";44;66204,06;70;1
"230428 Eusébio";40;60000,00;259;1
"230430 Farias Brito";13;19658,15;74;1
"230440 Fortaleza";8319;43912891,15;79866;2234
"230450 Frecheirinha";26;39312,00;156;2
"230480 Granjeiro";6;9000,00;12;-
"230490 Groaíras";21;31684,00;104;-
"230495 Guaiúba";1;1500,00;3;-
"230500 Guaraciaba do Norte";24;36062,15;218;-
"230523 Horizonte";24;36000,00;146;3
"230530 Ibiapina";42;64736,00;230;-
"230540 Icó";122;897190,55;995;44
"230550 Iguatu";245;380382,59;1195;34
"230560 Independência";1;1508,00;8;-
"230580 Ipu";41;61516,00;138;2
"230600 Iracema";51;77179,99;177;2
"230610 Irauçuba";74;111232,00;271;2
"230620 Itaiçaba";1;1500,00;3;-
"230625 Itaitinga";52;78184,00;320;15
"230630 Itapagé";97;145644,00;454;14
"230640 Itapipoca";321;3291984,58;3219;118
"230650 Itapiúna";10;15000,00;29;2
"230655 Itarema";73;113084,00;518;7
"230670 Jaguaretama";47;70592,45;229;-
"230680 Jaguaribara";18;27224,00;28;-
"230690 Jaguaribe";63;94863,07;222;5
"230700 Jaguaruana";39;59604,00;155;3
"230710 Jardim";23;36116,90;159;2
"230730 Juazeiro do Norte";1030;3724913,31;7760;377
"230740 Jucás";38;58080,00;198;3
"230750 Lavras da Mangabeira";172;262040,00;642;10
"230760 Limoeiro do Norte";549;2025143,29;2957;103
"230763 Madalena";13;19500,00;31;-
"230765 Maracanaú";370;1332524,95;2905;128
"230770 Maranguape";139;209477,38;749;26
"230780 Marco";66;101792,72;310;4
"230800 Massapê";29;43864,00;98;2
"230810 Mauriti";135;204908,00;639;14
"230820 Meruoca";4;6148,06;23;-
"230830 Milagres";12;18000,00;65;-
"230835 Milhã";14;21304,00;57;-
"230840 Missão Velha";50;75909,95;212;1
"230850 Mombaça";162;243157,14;961;9
"230870 Morada Nova";124;186148,16;538;11
"230890 Morrinhos";4;6072,00;20;-
"230900 Mucambo";103;154539,10;343;2
"230910 Mulungu";16;24000,00;72;-
"230920 Nova Olinda";2;3000,00;16;-
"230930 Nova Russas";111;168892,00;465;4
"230940 Novo Oriente";34;51500,00;114;1
"230945 Ocara";8;12000,00;20;1
"230950 Orós";91;136948,00;379;7
"230960 Pacajus";104;156110,00;592;12
"230970 Pacatuba";120;180000,00;555;36
"231010 Palmácia";10;15176,00;40;-
"231020 Paracuru";113;169839,18;417;18
"231025 Paraipaba";65;97524,00;269;7
"231030 Parambu";43;64500,00;172;4
"231050 Pedra Branca";71;107092,00;329;4
"231070 Pentecoste";79;118532,00;474;9
"231080 Pereiro";2;3048,00;6;-
"231085 Pindoretama";34;53394,32;250;7
"231090 Piquet Carneiro";2;3000,00;10;-
"231100 Poranga";3;4540,00;10;-
"231110 Porteiras";4;6112,00;15;-
"231130 Quixadá";206;312167,55;666;16
"231135 Quixelô";60;90560,00;274;1
"231140 Quixeramobim";915;2997187,25;7345;176
"231150 Quixeré";26;39184,00;122;4
"231160 Redenção";104;165527,35;437;9
"231170 Reriutaba";1;1516,00;3;-
"231180 Russas";211;329916,76;840;12
"231190 Saboeiro";8;12000,00;28;-
"231195 Salitre";14;21024,00;34;-
"231220 Santa Quitéria";33;49708,00;192;2
"231200 Santana do Acaraú";13;19980,73;70;-
"231210 Santana do Cariri";4;6024,00;15;1
"231230 São Benedito";38;57152,00;115;6
"231240 São Gonçalo do Amarante";81;123919,36;262;10
"231270 Senador Pompeu";20;30160,00;79;2
"231290 Sobral";2258;13751049,63;22914;681
"231300 Solonópole";22;33208,00;84;1
"231310 Tabuleiro do Norte";57;89277,68;405;2
"231320 Tamboril";31;47172,00;101;-
"231330 Tauá";427;2907899,54;3059;99
"231340 Tianguá";342;2564562,94;3092;93
"231350 Trairi";28;42112,00;91;2
"231355 Tururu";7;10660,00;38;-
"231360 Ubajara";61;92369,06;176;-
"231375 Umirim";2;3000,00;8;-
"231395 Varjota";20;30224,00;119;-
"231400 Várzea Alegre";106;160984,24;352;4
"231410 Viçosa do Ceará";134;201760,39;694;9
"240020 Açu";130;323724,25;771;18
"240050 Alexandria";12;18096,00;14;-
"240100 Apodi";273;416367,12;1163;26
"240110 Areia Branca";71;107476,00;127;5
"240145 Baraúna";3;4500,00;9;-
"240180 Brejinho";5;7500,00;22;1
"240200 Caicó";483;5567167,83;3609;170
"240230 Caraúbas";3;4500,00;4;-
"240250 Carnaubais";2;3000,00;4;-
"240260 Ceará-Mirim";3;4604,00;13;-
"240310 Currais Novos";32;57439,97;297;8
"240360 Extremoz";48;72000,00;196;8
"240370 Felipe Guerra";4;6032,00;12;-
"240400 Frutuoso Gomes";1;1500,00;1;-
"240450 Guamaré";62;337174,36;477;23
"240530 Januário Cicco";4;6000,00;16;-
"240560 Jardim de Piranhas";26;39000,00;95;1
"240580 João Câmara";48;72881,00;270;16
"240610 Jucurutu";14;21364,00;48;-
"240670 Lajes";2;3000,00;28;1
"240710 Macaíba";33;130920,32;318;14
"240720 Macau";80;120001,00;443;7
"240760 Messias Targino";4;6000,00;22;-
"240800 Mossoró";1377;8447805,07;9040;345
"240810 Natal";2471;12789143,94;21762;666
"240830 Nova Cruz";34;51000,00;240;8
"240325 Parnamirim";476;1546531,56;3310;49
"240940 Pau dos Ferros";185;567961,36;914;65
"240980 Pedro Velho";3;4500,00;8;-
"240990 Pendências";12;18232,00;40;-
"241120 Santa Cruz";124;235648,00;752;17
"241150 Santo Antônio";136;212546,93;926;33
"241200 São Gonçalo do Amarante";157;635561,00;1069;43
"241230 São José do Campestre";15;23036,00;69;2
"241240 São José do Seridó";3;4572,00;9;-
"241250 São Miguel";1;1500,00;3;-
"241260 São Paulo do Potengi";81;141695,71;403;27
"241280 São Rafael";3;4556,00;7;-
"241030 Serra Caiada";2;3000,00;4;-
"241440 Touros";41;61500,00;237;4
"250040 Alagoa Nova";4;6024,00;17;-
"250110 Areia";2;3000,00;7;-
"250130 Aroeiras";1;1500,00;5;1
"250200 Belém do Brejo do Cruz";3;4564,00;8;-
"250240 Bonito de Santa Fé";7;10500,00;43;-
"250320 Cabedelo";26;39955,42;64;13
"250370 Cajazeiras";426;1724304,03;2801;131
"250400 Campina Grande";1503;6699798,45;11860;432
"250510 Cuité";5;7740,00;30;-
"250600 Esperança";3;4610,34;11;-
"250750 João Pessoa";1866;9690933,88;17736;571
"250830 Lagoa Seca";21;31524,00;60;-
"250890 Mamanguape";45;89455,93;159;31
"250920 Massaranduba";2;3000,00;2;-
"251080 Patos";186;1106578,82;1463;68
"251130 Piancó";154;437183,16;1029;49
"251140 Picuí";3;4500,00;4;-
"251210 Pombal";234;730360,48;1469;62
"251370 Santa Rita";1549;8569048,52;14374;590
"251390 São Bento";32;48049,00;117;-
"251550 Serra Branca";16;24161,17;28;3
"251600 Solânea";34;51480,00;148;1
"251610 Soledade";11;16500,00;44;1
"251630 Sumé";3;4524,00;8;-
